templates/koran.html
Chapter|Verse|Book|Sentence
2|23|al-Baqarah: The Cow|And if ye are in doubt concerning that which We reveal unto Our slave  (Muhammad), then produce a surah of the like thereof, and call your witness beside  Allah if ye are truthful. 
2|24|al-Baqarah: The Cow|And if ye do it not - and ye can never do it - then guard yourselves against  the Fire prepared for disbelievers, whose fuel is of men and stones. 
2|25|al-Baqarah: The Cow|And give glad tidings (O Muhammad) unto those who believe and do good  works; that theirs are Gardens underneath which rivers flow; as often as they are  regaled with food of the fruit thereof, they say: this is what was given us aforetime;  and it is given to them in resemblance. There for them are pure companions; there for  ever  they abide. 
2|26|al-Baqarah: The Cow|Lo! Allah disdaineth not to coin the similitude even of a gnat. Those who  believe know that it is the truth from their Lord; but those who disbelieve say: What  doth Allah wish (to teach) by such a similitude ? He misleadeth many thereby, and He  guideth many thereby; and He misleadeth thereby only miscreants; 
2|27|al-Baqarah: The Cow|Those who break the covenant of Allah after ratifying it, and sever that  which Allah ordered to be joined, and (who) make mischief in the earth: Those are  they who are the losers. 
2|28|al-Baqarah: The Cow|How disbelieve ye in Allah when ye were dead and He gave life to you!  Then He will give you death, then life again, and then unto Him ye will return. 
2|29|al-Baqarah: The Cow|He it is Who created for you all that is in the earth. Then turned He to the  heaven, and fashioned it as seven heavens. And He is knower of all things. 
2|30|al-Baqarah: The Cow|And when thy Lord said unto the angels: Lo! I am about to place a viceroy in  the earth, they said: Wilt thou place therein one who will do harm therein and will  shed blood, while we, we hymn Thy praise and sanctify Thee ? He said: Surely I  know that which ye know not. 
2|31|al-Baqarah: The Cow|And He taught Adam all the names, then showed them to the angels, saying:  Inform Me of the names of these, if ye are truthful. 
2|32|al-Baqarah: The Cow|They said: Be glorified! We have no knowledge saving that which Thou hast  taught us. Lo! Thou, only Thou, art the Knower, the Wise. 
2|33|al-Baqarah: The Cow|He said: O Adam! Inform them of their names, and when he had informed  them of their names, He said: Did I not tell you that I know the secret of the heavens  and the earth ? And I know that which ye disclose and which ye hide. 
2|34|al-Baqarah: The Cow|And when We said unto the angels: Prostrate yourselves before Adam, they  fell prostrate, all save Iblis. He demurred through pride, and so became a disbeliever. 
2|35|al-Baqarah: The Cow|And We said: O Adam! Dwell thou and thy wife in the Garden, and eat ye  freely (of the fruits) thereof where ye will; but come not nigh this tree lest ye become  wrong-doers. 
2|36|al-Baqarah: The Cow|But Satan caused them to deflect therefrom and expelled them from the  (happy) state in which they were; and We said: Fall down, one of you a foe unto the  other! There shall be for you on earth a habitation and provision for a time. 
2|37|al-Baqarah: The Cow|Then Adam received from his Lord words (of revelation), and He relented  toward him. Lo! He is the relenting, the Merciful. 
2|38|al-Baqarah: The Cow|We said: Go down, all of you, from hence; but verily there cometh unto you  from Me a guidance; and whoso followeth My guidance, there shall no fear come  upon them neither shall they grieve. 
2|39|al-Baqarah: The Cow|But they who disbelieve, and deny Our revelations, such are rightful Peoples  of the Fire. They will abide therein. 
2|40|al-Baqarah: The Cow|O Children of Israel! Remember My favour wherewith I favoured you, and  fulfil your (part of the) covenant, I shall fulfil My (part of the) covenant, and fear Me. 
2|41|al-Baqarah: The Cow|And believe in that which I reveal, confirming that which ye possess already  (of the Scripture), and be not first to disbelieve therein, and part not with My  revelations for a trifling price, and keep your duty unto Me. 
2|42|al-Baqarah: The Cow|Confound not truth with falsehood, nor knowingly conceal the truth. 
2|43|al-Baqarah: The Cow|Establish worship, pay the poor-due, and bow your heads with those who  bow (in worship). 
2|44|al-Baqarah: The Cow|Enjoin ye righteousness upon mankind while ye yourselves forget (to  practise it) ? And ye are readers of the Scripture! Have ye then no sense ? 
2|45|al-Baqarah: The Cow|Seek help in patience and prayer; and truly it is hard save for the humble- minded, 
2|46|al-Baqarah: The Cow|Who know that they will have to meet their Lord, and that unto Him they are  returning. 
2|47|al-Baqarah: The Cow|O Children of Israel! Remember My favour wherewith I favoured you and  how I preferred you to (all) creatures. 
2|48|al-Baqarah: The Cow|And guard yourselves against a day when no soul will in aught avail another,  nor will intercession be accepted from it, nor will compensation be received from it,  nor will they be helped. 
2|49|al-Baqarah: The Cow|And (remember) when We did deliver you from Pharaoh's folk, who were  afflicting you with dreadful torment, slaying your sons and sparing your women: that  was a tremendous trial from your Lord. 
2|50|al-Baqarah: The Cow|And when We brought you through the sea and rescued you, and drowned  the folk of Pharaoh in your sight. 
2|51|al-Baqarah: The Cow|And when We did appoint for Moses forty nights (of solitude), and then ye  chose the calf, when he had gone from you, and were wrong-doers. 
2|52|al-Baqarah: The Cow|Then, even after that, We pardoned you in order that ye might give thanks. 
2|53|al-Baqarah: The Cow|And when We gave unto Moses the Scripture and the criterion (of right and  wrong), that ye might be led aright. 
2|54|al-Baqarah: The Cow|And when Moses said unto his people: O my people! Ye have wronged  yourselves by your choosing of the calf (for worship) so turn in penitence to your  Creator, and kill (the guilty) yourselves. That will be best for you with your Creator  and He will relent toward you. Lo! He is the Relenting, the Merciful. 
2|55|al-Baqarah: The Cow|And when ye said: O Moses! We will not believe in thee till we see Allah  plainly; and even while ye gazed the lightning seized you. 
2|56|al-Baqarah: The Cow|Then We revived you after your extinction, that ye might give thanks. 
2|57|al-Baqarah: The Cow|And We caused the white cloud to overshadow you and sent down on you  the manna and the quails, (saying): Eat of the good things wherewith We have  provided you - they wronged Us not, but they did wrong themselves. 
2|58|al-Baqarah: The Cow|And when We said: Go into this township and eat freely of that which is  therein, and enter the gate prostrate, and say: "Repentance." We will forgive you your  sins and will increase (reward) for the right-doers. 
2|59|al-Baqarah: The Cow|But those who did wrong changed the word which had been told them for  another saying, and We sent down upon the evil-doers wrath from heaven for their  evil-doing. 
2|60|al-Baqarah: The Cow|And when Moses asked for water for his people, We said: Smite with thy  staff the rock. And there gushed out therefrom twelve springs (so that) each tribe  knew their drinking-place. Eat and drink of that which Allah hath provided, and do  not act corruptly, making mischief in the earth. 
2|61|al-Baqarah: The Cow|And when ye said: O Moses! We are weary of one kind of food; so call upon  thy Lord for us that He bring forth for us of that which the earth groweth - of its herbs  and its cucumbers and its corn and its lentils and its onions. He said: Would ye  exchange that which is higher for that which is lower ? Go down to settled country,  thus ye shall get that which ye demand. And humiliation and wretchedness were  stamped upon them and they were visited with wrath from Allah. That was because  they disbelieved in Allah's revelations and slew the prophets wrongfully. That was for  their disobedience and transgression. 
2|62|al-Baqarah: The Cow|Lo! Those who believe (in that which is revealed unto thee, Muhammad),  and those who are Jews, and Christians, and Sabaeans - whoever believeth in Allah  and the Last Day and doeth right - surely their reward is with their Lord, and there  shall no fear come upon them neither shall they grieve. 
2|63|al-Baqarah: The Cow|And (remember, O Children of Israel) when We made a covenant with you  and caused the mount to tower above you, (saying): Hold fast that which We have  given you, and remember that which is therein, that ye may ward off (evil). 
2|64|al-Baqarah: The Cow|Then, even after that, ye turned away, and if it had not been for the grace of  Allah and His mercy ye had been among the losers. 
2|65|al-Baqarah: The Cow|And ye know of those of you who broke the Sabbath, how We said unto  them: Be ye apes, despised and hated! 
2|66|al-Baqarah: The Cow|And We made it an example to their own and to succeeding generations, and  an admonition to the God-fearing. 
2|67|al-Baqarah: The Cow|And when Moses said unto his people: Lo! Allah commandeth you that ye  sacrifice a cow, they said: Dost thou make game of us ? He answered: Allah forbid  that I should be among the foolish! 
2|68|al-Baqarah: The Cow|They said: Pray for us unto thy Lord that He make clear to us what (cow) she  is. (Moses) answered: Lo! He saith, Verily she is a cow neither with calf nor  immature; (she is) between the two conditions; so do that which ye are commanded. 
2|69|al-Baqarah: The Cow|They said: Pray for us unto thy Lord that He make clear to us of what colour  she is. (Moses) answered: Lo! He saith: Verily she is a yellow cow. Bright is her  colour, gladdening beholders. 
2|70|al-Baqarah: The Cow|They said: Pray for us unto thy Lord that He make clear to us what (cow) she  is. Lo! cows are much alike to us; and Lo! if Allah wills, we may be led aright. 
2|71|al-Baqarah: The Cow|(Moses) answered: Lo! He saith: Verily she is a cow unyoked; she plougheth  not the soil nor watereth the tilth; whole and without mark. They said: Now thou  bringest the truth. So they sacrificed her, though almost they did not. 
2|72|al-Baqarah: The Cow|And (remember) when ye slew a man and disagreed concerning it and Allah  brought forth that which ye were hiding. 
2|73|al-Baqarah: The Cow|And We said: Smite him with some of it. Thus Allah bringeth the dead to life  and showeth you His portents so that ye may understand. 
2|74|al-Baqarah: The Cow|Then, even after that, your hearts were hardened and became as rocks, or  worse than rocks, for hardness. For indeed there are rocks from out which rivers gush,  and indeed there are rocks which split asunder so that water floweth from them. And  indeed there are rocks which fall down for the fear of Allah. Allah is not unaware of  what ye do. 
2|75|al-Baqarah: The Cow|Have ye any hope that they will be true to you when a party of them used to  listen to the word of Allah, then used to change it, after they had understood it,  knowingly ? 
2|76|al-Baqarah: The Cow|And when they fall in with those who believe, they say: We believe. But  when they go apart one with another they say: Prate ye to them of that which Allah  hath disclosed to you that they may contend with you before your Lord concerning it  ? Have ye then no sense ? 
2|77|al-Baqarah: The Cow|Are they then unaware that Allah knoweth that which they keep hidden and  that which they proclaim ? 
2|78|al-Baqarah: The Cow|Among them are unlettered folk who know the Scripture not except from  hearsay. They but guess. 
2|79|al-Baqarah: The Cow|Therefore woe be unto those who write the Scripture with their hands and  then say, "This is from Allah," that they may purchase a small gain therewith. Woe  unto them for that their hands have written, and woe unto them for that they earn  thereby. 
2|80|al-Baqarah: The Cow|And they say: The Fire  (of punishment) will not touch us save for a certain  number of days. Say: Have ye received a covenant from Allah - truly Allah will not  break His covenant - or tell ye concerning Allah that which ye know not ? 
2|81|al-Baqarah: The Cow|Nay, but whosoever hath done evil and his sin surroundeth him; such are  rightful owners of the Fire; they will abide therein. 
2|82|al-Baqarah: The Cow|And those who believe and do good works: such are rightful owners of the  Garden. They will abide therein. 
2|83|al-Baqarah: The Cow|And (remember) when We made a covenant with the Children of Israel,  (saying): Worship none save Allah (only), and be good to parents and to kindred and  to orphans and the needy, and speak kindly to mankind; and establish worship and  pay the poor-due. Then, after that, ye slid back, save a few of you, being averse. 
2|84|al-Baqarah: The Cow|And when We made with you a covenant (saying): Shed not the blood of  your people nor turn (a party of) your people out of your dwellings. Then ye ratified  (Our covenant) and ye were witnesses (thereto). 
2|85|al-Baqarah: The Cow|Yet ye it is who slay each other and drive out a party of your people from  their homes, supporting one another against them by sin and transgression ? - and if  they came to you as captives ye would ransom them, whereas their expulsion was  itself unlawful for you - Believe ye in part of the Scripture and disbelieve ye in part  thereof ? And what is the reward of those who do so save ignominy in the life of the  world, and on the Day of Resurrection they will be consigned to the most grievous  doom. For Allah is not unaware of what ye do. 
2|86|al-Baqarah: The Cow|Such are those who buy the life of the world at the price of the Hereafter.  Their punishment will not be lightened, neither will they have support. 
2|87|al-Baqarah: The Cow|And verily We gave unto Moses the Scripture and We caused a train of  messengers to follow after him, and We gave unto Jesus, son of Mary, clear proofs (of  Allah's sovereignty), and We supported him with the Holy spirit. Is it ever so, that,  when there cometh unto you a messenger (from Allah) with that which ye yourselves  desire not, ye grow arrogant, and some ye disbelieve and some ye slay ? 
2|88|al-Baqarah: The Cow|And they say: Our hearts are hardened. Nay, but Allah hath cursed them for  their unbelief. Little is that which they believe. 
2|89|al-Baqarah: The Cow|And when there cometh unto them a scripture from Allah, confirming that in  their possession - though before that they were asking for a signal triumph over those  who disbelieved - and when there cometh unto them that which they know (to be the  truth) they disbelieve therein. The curse of Allah is on disbelievers. 
2|90|al-Baqarah: The Cow|Evil is that for which they sell their souls: that they should disbelieve in that  which Allah hath revealed, grudging that Allah should reveal of His bounty unto  whom He will of His slaves.  They have incurred anger upon anger.  For disbelievers  is a shameful doom. 
2|91|al-Baqarah: The Cow|And when it is said unto them: Believe in that which Allah hath revealed,  they say: We believe in that which was revealed unto us. And they disbelieve in that  which cometh after it, though it is the truth confirming that which they possess. Say  (unto them, O Muhammad): Why then slew ye the prophets of Allah aforetime, if ye  are (indeed) believers ? 
2|92|al-Baqarah: The Cow|And Moses came unto you with clear proofs (of Allah's Sovereignty), yet,  while he was away, ye chose the calf (for worship) and ye were wrong-doers. 
2|93|al-Baqarah: The Cow|And when We made with you a covenant and caused the Mount to tower  above you, (saying): Hold fast by that which We have given you, and hear (Our  Word), they said: We hear and we rebel. And (worship of) the calf was made to sink  into their hearts because of their rejection (of the covenant). Say (unto them): Evil is  that which your belief enjoineth on you, if ye are believers. 
2|94|al-Baqarah: The Cow|Say (unto them): If the abode of the Hereafter in the providence of Allah is  indeed for you alone and not for others of mankind (as ye pretend), then long for  death (for ye must long for death) if ye are truthful. 
2|95|al-Baqarah: The Cow|But they will never long for it, because of that which their own hands have  sent before them. Allah is aware of evil-doers. 
2|96|al-Baqarah: The Cow|And thou wilt find them greediest of mankind for life and (greedier) than the  idolaters. (Each) one of them would like to be allowed to live a thousand years. And  to live (a thousand years) would be no means remove him from the doom. Allah is  Seer of what they do. 
2|97|al-Baqarah: The Cow|Say (O Muhammad, to mankind): Who is an enemy to Gabriel! For he it is  who hath revealed (this Scripture) to thy heart by Allah's leave, confirming that which  was (revealed) before it, and a guidance and glad tidings to believers; 
2|98|al-Baqarah: The Cow|Who is an enemy to Allah, and His angels and His messengers, and Gabriel  and Michael! Then, lo! Allah (Himself) is an enemy to the disbelievers. 
2|99|al-Baqarah: The Cow|Verily We have revealed unto thee clear tokens, and only miscreants will  disbelieve in them. 
2|100|al-Baqarah: The Cow|Is it ever so that when they make a covenant a party of them set it aside ?  The truth is, most of them believe not. 
2|101|al-Baqarah: The Cow|And when there cometh unto them a messenger from Allah, confirming that  which they possess, a party of those who have received the Scripture fling the  Scripture of Allah behind their backs as if they knew not, 
2|102|al-Baqarah: The Cow|And follow that which the devils falsely related against the kingdom of  Solomon. Solomon disbelieved not; but the devils disbelieved, teaching mankind  magic and that which was revealed to the two angels in Babel, Harut and Marut. Nor  did they (the two angels) teach it to anyone till they had said: We are only a  temptation, therefore disbelieve not (in the guidance of Allah). And from these two  (angles) people learn that by which they cause division between man and wife; but  they injure thereby no-one save by Allah's leave. And they learn that which harmeth  them and profiteth them not. And surely they do know that he who trafficketh therein  will have no (happy) portion in the Hereafter; and surely evil is the price for which  they sell their souls, if they but knew. 
2|103|al-Baqarah: The Cow|And if they had believed and kept from evil, a recompense from Allah would  be better, if they only knew. 
2|104|al-Baqarah: The Cow|O ye who believe, say not (unto the Prophet): "Listen to us" but say "Look  upon us," and be ye listeners. For disbelievers is a painful doom. 
2|105|al-Baqarah: The Cow|Neither those who disbelieve among the people of the Scripture nor the  idolaters love that there should be sent down unto you any good thing from your  Lord. But Allah chooseth for His mercy whom He will, and Allah is of Infinite  Bounty. 
2|106|al-Baqarah: The Cow|Nothing of our revelation (even a single verse) do we abrogate or cause be  forgotten, but we bring (in place) one better or the like thereof. Knowest thou not that  Allah is Able to do all things ? 
2|107|al-Baqarah: The Cow|Knowest thou not that it is Allah unto Whom belongeth the Sovereignty of  the heavens and the earth; and ye have not, beside Allah, any guardian or helper ? 
2|108|al-Baqarah: The Cow|Or would ye question your messenger as Moses was questioned aforetime ?  He who chooseth disbelief instead of faith, verily he hath gone astray from a plain  road. 
2|109|al-Baqarah: The Cow|Many of the people of the Scripture long to make you disbelievers after your  belief, through envy on their own account, after the truth hath become manifest unto  them. Forgive and be indulgent (toward them) until Allah give command. Lo! Allah is  Able to do all things. 
2|110|al-Baqarah: The Cow|Establish worship, and pay the poor-due; and whatever of good ye send  before (you) for your souls, ye will find it with Allah. Lo! Allah is Seer of what ye do. 
2|111|al-Baqarah: The Cow|And they say: None entereth paradise unless he be a Jew or a Christian.  These are their own desires. Say: Bring your proof (of what ye state) if ye are truthful. 
2|112|al-Baqarah: The Cow|Nay, but whosoever surrendereth his purpose to Allah while doing good, his  reward is with his Lord; and there shall no fear come upon them neither shall they  grieve. 
2|113|al-Baqarah: The Cow|And the Jews say the Christians follow nothing (true), and the Christians say  the Jews follow nothing (true); yet both are readers of the Scripture. Even thus speak  those who know not. Allah will judge between them on the Day of Resurrection  concerning that wherein they differ. 
2|114|al-Baqarah: The Cow|And who doth greater wrong than he who forbiddeth the approach to the  sanctuaries of Allah lest His name should be mentioned therein, and striveth for their  ruin. As for such, it was never meant that they should enter them except in fear.  Theirs in the world is ignominy and theirs in the Hereafter is an awful doom. 
2|115|al-Baqarah: The Cow|Unto Allah belong the East and the West, and whithersoever ye turn, there is  Allah's Countenance. Lo! Allah is All-Embracing, All-Knowing. 
2|116|al-Baqarah: The Cow|And they say: Allah hath taken unto Himself a son. Be He glorified! Nay, but  whatsoever is in the heavens and the earth is His. All are subservient unto Him. 
2|117|al-Baqarah: The Cow|The Originator of the heavens and the earth! When He decreeth a thing, He  saith unto it only: Be! and it is. 
2|118|al-Baqarah: The Cow|And those who have no knowledge say: Why doth not Allah speak unto us,  or some sign come unto us ? Even thus, as they now speak, spake those (who were)  before them. Their hearts are all alike. We have made clear the revelations for people  who are sure. 
2|119|al-Baqarah: The Cow|Lo! We have sent thee (O Muhammad) with the truth, a bringer of glad  tidings and a warner. And thou wilt not be asked about the owners of hell-fire. 
2|120|al-Baqarah: The Cow|And the Jews will not be pleased with thee, nor will the Christians, till thou  follow their creed. Say: Lo! the guidance of Allah (Himself) is Guidance. And if thou  shouldst follow their desires after the knowledge which hath come unto thee, then  wouldst thou have from Allah no protecting guardian nor helper. 
2|121|al-Baqarah: The Cow|Those unto whom We have given the Scripture, who read it with the right  reading, those believe in it. And whoso disbelieveth in it, those are they who are the  losers. 
2|122|al-Baqarah: The Cow|O Children of Israel! Remember My favour wherewith I favoured you and  how I preferred you to (all) creatures. 
2|123|al-Baqarah: The Cow|And guard (yourselves) against a day when no soul will in aught avail  another, nor will compensation be accepted from it, nor will intercession be of use to  it; nor will they be helped. 
2|124|al-Baqarah: The Cow|And (remember) when his Lord tried Abraham with (His) commands, and he  fulfilled them, He said: Lo! I have appointed thee a leader for mankind. (Abraham)  said: And of my offspring (will there be leaders) ? He said: My covenant includeth  not wrong-doers. 
2|125|al-Baqarah: The Cow|And when We made the House (at Makka) a resort for mankind and  sanctuary, (saying): Take as your place of worship the place where Abraham stood (to  pray). And We imposed a duty upon Abraham and Ishmael, (saying): Purify My  house for those who go around and those who meditate therein and those who bow  down and prostrate themselves (in worship). 
2|126|al-Baqarah: The Cow|And when Abraham prayed: My Lord! Make this a region of security and  bestow upon its people fruits, such of them as believe in Allah and the Last Day, He  answered: As for him who disbelieveth, I shall leave him in contentment for a while,  then I shall compel him to the doom of Fire - a hapless journey's end! 
2|127|al-Baqarah: The Cow|And when Abraham and Ishmael were raising the foundations of the House,  (Abraham prayed): Our Lord! Accept from us (this duty). Lo! Thou, only Thou, art  the Hearer, the Knower. 
2|128|al-Baqarah: The Cow|Our Lord! And make us submissive unto Thee and of our seed a nation  submissive unto Thee, and show us our ways of worship, and relent toward us. Lo!  Thou, only Thou, art the Relenting, the Merciful. 
2|129|al-Baqarah: The Cow|Our Lord! And raise up in their midst a messenger from among them who  shall recite unto them Thy revelations, and shall instruct them in the Scripture and in  wisdom and shall make them grow. Lo! Thou, only Thou, art the Mighty, Wise. 
2|130|al-Baqarah: The Cow|And who forsaketh the religion of Abraham save him who befooleth himself  ? Verily We chose him in the world, and lo! in the Hereafter he is among the  righteous. 
2|131|al-Baqarah: The Cow|When his Lord said unto him: Surrender! he said: I have surrendered to the  Lord of the Worlds. 
2|132|al-Baqarah: The Cow|The same did Abraham enjoin upon his sons, and also Jacob, (saying): O my  sons! Lo! Allah hath chosen for you the (true) religion; therefore die not save as men  who have surrendered (unto Him). 
2|133|al-Baqarah: The Cow|Or were ye present when death came to Jacob, when he said unto his sons:  What will ye worship after me ? They said: We shall worship thy God, the God of thy  fathers, Abraham and Ishmael and Isaac, One God, and unto Him we have  surrendered. 
2|134|al-Baqarah: The Cow|Those are a people who have passed away. Theirs is that which they earned,  and yours is that which ye earn. And ye will not be asked of what they used to do. 
2|135|al-Baqarah: The Cow|And they say: Be Jews or Christians, then ye will be rightly guided. Say  (unto them, O Muhammad): Nay, but (we follow) the religion of Abraham, the  upright, and he was not of the idolaters. 
2|136|al-Baqarah: The Cow|Say (O Muslims): We believe in Allah and that which is revealed unto us and  that which was revealed unto Abraham, and Ishmael, and Isaac, and Jacob, and the  tribes, and that which Moses and Jesus received, and that which the prophets received  from their Lord. We make no distinction between any of them, and unto Him we have  surrendered. 
2|137|al-Baqarah: The Cow|And if they believe in the like of that which ye believe, then are they rightly  guided. But if they turn away, then are they in schism, and Allah will suffice thee (for  defence) against them. He is the Hearer, the Knower. 
2|138|al-Baqarah: The Cow|(We take our) colour from Allah, and who is better than Allah at colouring.  We are His worshippers. 
2|139|al-Baqarah: The Cow|Say (unto the People of the Scripture): Dispute ye with us concerning Allah  when He is our Lord and your Lord ? Ours are our works and yours your works. We  look to Him alone. 
2|140|al-Baqarah: The Cow|Or say ye that Abraham, and Ishmael, and Isaac, and Jacob, and the tribes  were Jews or Christians ? Say: Do ye know best, or doth Allah ? And who is more  unjust than he who hideth a testimony which he hath received from Allah ? Allah is  not unaware of what ye do. 
2|141|al-Baqarah: The Cow|Those are a people who have passed away; theirs is that which they earned  and yours that which ye earn. And ye will not be asked of what they used to do. 
2|142|al-Baqarah: The Cow|The foolish of the people will say: What hath turned them from the qiblah  which they formerly observed ? Say: Unto Allah belong the East and the West. He  guideth whom He will unto a straight path. 
2|143|al-Baqarah: The Cow|Thus We have appointed you a middle nation, that ye may be witnesses  against mankind, and that the messenger may be a witness against you. And We  appointed the qiblah which ye formerly observed only that We might know him who  followeth the messenger, from him who turneth on his heels. In truth it was a hard  (test) save for those whom Allah guided. But it was not Allah's purpose that your faith  should be in vain, for Allah is Full of Pity, Merciful toward mankind. 
2|144|al-Baqarah: The Cow|We have seen the turning of thy face to heaven (for guidance, O  Muhammad). And now verily We shall make thee turn (in prayer) toward a qiblah  which is dear to thee. So turn thy face toward the Inviolable Place of Worship, and ye  (O Muslims), wheresoever ye may be, turn your faces (when ye pray) toward it. Lo!  Those who have received the Scripture know that (this revelation) is the Truth from  their Lord. And Allah is not unaware of what they do. 
2|145|al-Baqarah: The Cow|And even if thou broughtest unto those who have received the Scripture all  kinds of portents, they would not follow thy qiblah, nor canst thou be a follower of  their qiblah; nor are some of them followers of the qiblah of others. And if thou  shouldst follow their desires after the knowledge which hath come unto thee, then  surely wert thou of the evil-doers. 
2|146|al-Baqarah: The Cow|Those unto whom We gave the Scripture recognise (this revelation) as they  recognise their sons. But lo! a party of them knowingly conceal the truth. 
2|147|al-Baqarah: The Cow|It is the Truth from thy Lord (O Muhammad), so be not thou of those who  waver. 
2|148|al-Baqarah: The Cow|And each one hath a goal toward which he turneth; so vie with one another in  good works. Wheresoever ye may be, Allah will bring you all together. Lo! Allah is  Able to do all things. 
2|149|al-Baqarah: The Cow|And whencesoever thou comest forth (for prayer, O Muhammad) turn thy  face toward the Inviolable Place of Worship. Lo! it is the Truth from thy Lord. Allah  is not unaware of what ye do. 
2|150|al-Baqarah: The Cow|Whencesoever thou comest forth turn thy face toward the Inviolable Place of  Worship; and wheresoever ye may be (O Muslims) turn your faces toward it (when ye  pray) so that men may have no argument against you, save such of them as do  injustice - Fear them not, but fear Me! - and so that I may complete My grace upon  you, and that ye may be guided. 
2|151|al-Baqarah: The Cow|Even as We have sent unto you a messenger from among you, who reciteth  unto you Our revelations and causeth you to grow, and teacheth you the Scripture and  wisdom, and teacheth you that which ye knew not. 
2|152|al-Baqarah: The Cow|Therefore remember Me, I will remember you. Give thanks to Me, and reject  not Me. 
2|153|al-Baqarah: The Cow|O ye who believe! Seek help in steadfastness and prayer. Lo! Allah is with  the steadfast. 
2|154|al-Baqarah: The Cow|And call not those who are slain in the way of Allah "dead." Nay, they are  living, only ye perceive not. 
2|155|al-Baqarah: The Cow|And surely We shall try you with something of fear and hunger, and loss of  wealth and lives and crops; but give glad tidings to the steadfast, 
2|156|al-Baqarah: The Cow|Who say, when a misfortune striketh them: Lo! we are Allah's and lo! unto  Him we are returning. 
2|157|al-Baqarah: The Cow|Such are they on whom are blessings from their Lord, and mercy. Such are  the rightly guided. 
2|158|al-Baqarah: The Cow|Lo! (the mountains) As-Safa and Al-Marwah are among the indications of  Allah. It is therefore no sin for him who is on pilgrimage to the House (of God) or  visiteth it, to go around them (as the pagan custom is). And he who doeth good of his  own accord, (for him) lo! Allah is Responsive, Aware. 
2|159|al-Baqarah: The Cow|Lo! Those who hide the proofs and the guidance which We revealed, after  We had made it clear to mankind in the Scripture: such are accursed of Allah and  accursed of those who have the power to curse. 
